"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0xa4e9b656b8a11d8384faa91cf51b1fd63ecd4166","0xa4e9b656b8a11d8384faa91cf51b1fd63ecd4166","Ethereum","ethereum","","","5.356976320409621","","2","","1",""
"0xde12713100afb786ece2bc1c417d49a405b9cbd8","0xde12713100afb786ece2bc1c417d49a405b9cbd8","Ethereum","ethereum","","","5.356153369728722","","4","","1",""
"0x8d0521c7748e47369794cd346fb61ad31b0a2b03","0x8d0521c7748e47369794cd346fb61ad31b0a2b03","Ethereum","ethereum","","","5.356020538327989","2374.912526407629","5","400.000000","1","0.000000"
"0x4058e969903f1f93de2571bdee05c9e9c4a08f8d","0x4058e969903f1f93de2571bdee05c9e9c4a08f8d","Ethereum","ethereum","","","5.355459095562967","1039.061690742156","3","200.000000","2","100.000000"
"0xd263af31c54b956a2dc0635af7fda8495e0461ad","0xd263af31c54b956a2dc0635af7fda8495e0461ad","Ethereum","ethereum","","","5.355176670442943","","4","","4",""
"0x6d9e53e09d0e67c80cabb43df4ea34d55b743ffc","0x6d9e53e09d0e67c80cabb43df4ea34d55b743ffc","Ethereum","ethereum","","","5.354624291875416","","2","","2",""
"0xf1e68915cd52c79c8d237c21cc0cec926f28e862","0xf1e68915cd52c79c8d237c21cc0cec926f28e862","Ethereum","ethereum","","","5.354244348718128","","4","","1",""
"0x30a5dde5a668b6275313f43bdcdb4cdca3bce078","0x30a5dde5a668b6275313f43bdcdb4cdca3bce078","Ethereum","ethereum","","","5.354150116475851","1557.168206165122","7","600.000000","3","200.000000"
"0x0ea3710dad78e32c1d9575a08b4105fbc7ad3154","0x0ea3710dad78e32c1d9575a08b4105fbc7ad3154","Ethereum","ethereum","","","5.3527209368554205","402.0134838229312","4","33.333333","2","100.000000"
"0xd0fafb80a6a0905716486c3bf9542dc6ea86cf0f","0xd0fafb80a6a0905716486c3bf9542dc6ea86cf0f","Ethereum","ethereum","","","5.352356109582029","","2","","2",""
"0xcc93e915c7bbdb568c34cac32f4bd2d9f19a5bfb","0xcc93e915c7bbdb568c34cac32f4bd2d9f19a5bfb","Ethereum","ethereum","","","5.352037450019144","353.2607170234397","6","100.000000","4","300.000000"
"0xd251ff3d9f446bccac5e83720c7fb893b69cb1ec","0xd251ff3d9f446bccac5e83720c7fb893b69cb1ec","Ethereum","ethereum","","","5.351968980898619","","2","","1",""
"0x6df382a59c91507769672111c9b5e9be02e20131","0x6df382a59c91507769672111c9b5e9be02e20131","Ethereum","ethereum","","","5.351253365744817","1273.8607052704028","3","200.000000","3","200.000000"
"0x16de96a9325ade6d8c48a2383d75a083423b4e61","0x16de96a9325ade6d8c48a2383d75a083423b4e61","Ethereum","ethereum","","","5.351060094414069","685.1186813274093","5","150.000000","1","0.000000"
"0xd758ef364c04daa02808f07986de92fc92e4dd6c","0xd758ef364c04daa02808f07986de92fc92e4dd6c","Ethereum","ethereum","","","5.3507395439198495","","3","","1",""
"0x94a669430fad19123f35d9fd922ce0745f23ad69","0x94a669430fad19123f35d9fd922ce0745f23ad69","Ethereum","ethereum","","","5.350700439044141","363.00284300123","5","66.666667","1","0.000000"
"0x0233bb52f3a454ff5da26a726eb51e0446bb2e0c","0x0233bb52f3a454ff5da26a726eb51e0446bb2e0c","Ethereum","ethereum","","","5.350645796875264","","5","","3",""
"0x3807c8f1604f754c04367bc09c605d7745da7ecc","0x3807c8f1604f754c04367bc09c605d7745da7ecc","Ethereum","ethereum","","","5.350483605756483","","4","","2",""
"0x155064a2403b2f09e543f3ae7f5bc38bb0d9f472","0x155064a2403b2f09e543f3ae7f5bc38bb0d9f472","Ethereum","ethereum","","","5.349948907153452","","7","","1",""
